ANNO_RIL;IDAREA;TIPOAREA;PAESE;PROVINCI;COMUNE;IDSQUADRA;IDONEITA;DATARIL;COORDN;COORDE;ALTITUD;ESPOSIZ;DISPH2O;T_HUMUS;ETAMEDIA;CATFOR;SCATFOR;COORDN_C;COORDE_C;FIXGPS_C;PIC;TRAS_PIC;T_PIC_AZ;T_PIC_DS;DATAUP
2015;C1052;C;5;CZ;Petilia Policastro;CL03;1;2015-08-05;390727.00;164448.00;18;2;2;2;3;5;52;4331809.62;650919.53;170;1;0;0.00;0.00;2015-09-15
2015;C2055;C;5;CZ;Taverna;CL03;1;2015-08-24;390733.00;163015.00;26;2;2;1;3;5;52;4331825.82;629923.66;170;1;0;0.00;0.00;2015-09-15
2015;C2056;C;5;CZ;Scandale;CL03;1;2015-08-03;390707.00;170129.00;3;3;1;7;3;17;192;4331742.17;675018.64;170;1;0;0.00;0.00;2015-09-15
2015;C0875;C;5;PZ;Pescopagano;BA01;3;2015-07-13;405154.00;152620.00;12;1;2;1;2;10;102;4523890.32;537044.87;170;1;0;0.00;0.00;2015-09-16
2015;C0927;C;5;PZ;Calvello;BA01;1;2015-08-11;402550.00;154930.00;30;4;2;2;4;8;84;4475873.20;569977.85;170;1;1;0.00;0.00;2015-09-16
2015;C0947;C;5;PZ;Grumento Nova;BA01;1;2015-08-13;401744.00;154924.00;14;5;2;3;8;9;92;4460775.13;569939.84;170;1;2;0.00;0.00;2015-09-16
2015;C2047;C;5;PZ;Bella;BA01;1;2015-08-06;404518.00;153902.00;20;3;2;1;3;8;84;4511741.06;554866.21;170;1;2;0.00;0.00;2015-09-16
2015;C2048;C;5;MT;Calciano;BA01;1;2015-07-13;403518.00;161033.00;8;2;2;3;2;6;63;4493724.13;599503.18;170;1;2;0.00;0.00;2015-09-16
2015;C2049;C;5;PZ;Brienza;BA01;1;2015-08-10;402554.00;153854.00;21;2;2;1;8;8;84;4475823.62;554909.28;170;1;2;0.00;0.00;2015-09-16
2015;C2050;C;5;MT;Tursi;BA01;1;2015-07-14;401535.00;163140.00;4;8;1;3;2;6;63;4457830.62;629864.66;170;1;2;0.00;0.00;2015-09-16
2015;C2051;C;5;PZ;Viggianello;BA01;1;2015-08-25;395623.00;161033.00;26;2;2;2;3;8;84;4421728.82;600458.23;170;1;2;0.00;0.00;2015-09-16
2015;C2066;C;5;PS;Frontone;MA03;1;2015-08-11;432922.00;124242.00;11;4;2;2;3;12;121;4817778.92;314931.83;170;1;0;0.00;0.00;2015-09-16
2015;C0504;C;5;PS;Montegrimano;MA03;2;2015-08-21;435150.00;122826.00;10;6;2;1;3;9;94;4859858.05;296911.72;170;1;2;0.00;0.00;2015-09-16
2015;C0563;C;5;AR;Cortona;TO01;1;2015-09-02;431719.00;120741.00;11;7;2;2;7;11;112;4797506.82;753689.78;170;1;0;0.00;0.00;2015-09-16
2015;C2008;C;5;MS;Comano;TO05;1;2015-08-20;441908.00;100612.00;15;7;2;2;2;10;102;4907797.16;587953.82;170;1;0;0.00;0.00;2015-09-17
2015;C0056;C;5;BL;S. Vito di Cadore;VE02;1;2015-08-06;462656.00;120942.00;29;6;2;2;5;2;23;5148682.18;742740.71;170;1;2;0.00;0.00;2015-09-17
2015;C0057;C;5;BL;Pieve di Cadore;VE02;1;2015-07-29;462717.00;122124.00;26;2;2;2;4;2;22;5150038.81;757708.39;170;1;2;0.00;0.00;2015-09-17
2015;C0174;C;5;AO;Quart;VA01;1;2015-08-20;454617.00;72551.00;31;5;2;3;7;1;11;5069795.34;377926.75;0;1;2;0.00;0.00;2015-09-17
2015;C2062;C;5;AO;Morgex;VA01;1;2015-08-06;454557.00;70243.00;24;5;2;3;5;4;46;5069784.32;347939.97;0;1;2;0.00;0.00;2015-09-17
2015;C2063;C;5;AO;Gressoney-Saint-Jean;VA01;1;2015-07-14;454635.00;74900.00;31;3;2;3;5;1;13;5069652.34;406223.53;0;1;2;0.00;0.00;2015-09-17
2015;C2064;C;5;AO;Champorcher;VA01;1;2015-08-17;453645.00;73740.00;31;5;2;3;6;1;11;5051794.17;392916.55;0;1;2;0.00;0.00;2015-09-17
2015;C2065;C;5;AO;Perloz;VA01;1;2015-07-30;453652.00;74912.00;14;7;2;2;4;11;111;5051941.99;408380.39;0;1;2;0.00;0.00;2015-09-17
2015;C2045;C;5;LT;Campo di Mele;LA02;1;2015-09-02;412250.00;133000.00;16;8;2;2;2;9;92;4582089.21;374574.25;170;2;2;0.00;0.00;2015-09-17
2015;C0127;C;5;TN;Trento;TR02;1;2015-07-23;460157.00;110842.00;8;7;2;1;3;4;41;5099804.79;665913.82;170;1;2;0.00;0.00;2015-09-30
2015;C0101;C;5;TN;Castello Tesino;TR02;1;2015-08-12;461107.00;113442.00;31;7;1;3;8;1;12;5117794.61;698918.08;170;1;2;0.00;0.00;2015-09-30
2015;C0100;C;5;TN;Bedollo;TR02;1;2015-08-06;461125.00;112044.00;28;4;2;2;8;2;21;5117826.83;680939.60;170;1;1;250.00;15.00;2015-09-30
2015;C2054;C;5;CS;S. Giovanni in Fiore;CL03;1;2015-07-24;391704.00;164054.00;25;4;2;3;2;5;51;4349818.25;644950.14;170;1;2;0.00;0.00;2015-09-30
2015;C1024;C;5;CS;Luzzi;CL03;1;2015-07-29;392531.00;162215.00;22;3;2;2;2;10;102;4364817.45;617861.28;170;2;2;0.00;0.00;2015-09-30
2015;C1049;C;5;CS;Aiello Calabro;CL03;1;2015-07-27;390748.00;161129.00;17;7;2;2;2;13;133;4331792.01;603051.04;170;2;2;0.00;0.00;2015-09-30
2015;C1012;C;5;CS;San Demetrio Corone;CL03;1;2015-07-31;393338.00;162224.00;14;8;1;3;1;11;111;4379812.64;617941.66;170;2;2;0.00;0.00;2015-09-18
2015;C2053;C;5;CS;Serra Pedace;CL03;1;2015-07-22;391717.00;163027.00;31;1;2;1;3;8;84;4349818.03;629938.25;170;2;2;0.00;0.00;2015-09-18
2015;C2052;C;5;CS;Alessandria del Carretto;CL03;1;2015-08-12;395618.00;162046.00;29;3;2;2;3;14;143;4421826.41;614922.31;170;2;2;0.00;0.00;2015-09-18
2015;C0156;C;5;BS;Bienno;LO04;1;2015-08-06;455434.00;101840.00;23;6;1;1;2;14;102;5084810.84;602906.30;170;1;0;0.00;0.00;2015-09-18
2015;C0187;C;5;BS;Pisogne;LO04;1;2015-08-10;454637.00;100535.00;13;8;2;1;2;11;111;5069845.89;584977.14;170;1;2;0.00;0.00;2015-09-18
