ANNO_RIL;IDAREA;IDPIANTA;SPECIE;RM_OLD;REM_MORT;ASS_CROWN;TRASPAR;FRUTTIF;DENDROT;DIAM1;DIAM2;DIST;AZIMUT
2015;C1052;64;40;1;1;4;10;2;1;10;10;12.49;311.00
2015;C1052;45;129;1;1;4;5;2;1;40;41;13.39;300.00
2015;C1052;1;129;1;1;4;25;1.1;1;42;42;5.10;295.00
2015;C1052;11;7;1;1;4;5;2;1;40;42;15.50;226.00
2015;C1052;9;129;1;1;4;10;2;1;43;44;11.97;223.00
2015;C1052;60;15;1;1;4;20;1.1;1;53;55;17.98;201.00
2015;C1052;6;15;1;1;4;10;2;1;71;70;6.17;162.00
2015;C1052;61;129;1;1;4;15;1.1;1;66;56;13.05;154.00
2015;C1052;29;7;1;1;4;20;2;1;34;33;9.42;147.00
2015;C1052;63;129;1;1;4;30;2;1;14;14;10.80;141.00
2015;C1052;58;129;1;1;4;15;1.2;1;29;28;12.83;138.00
2015;C1052;28;129;1;1;4;10;2;1;35;34;8.94;129.00
2015;C1052;56;129;1;1;4;15;1.1;1;44;43;10.10;123.00
2015;C1052;15;129;1;1;4;10;2;1;36;37;3.86;93.00
2015;C1052;46;129;1;1;4;15;2;1;40;41;13.13;88.00
2015;C1052;17;129;1;1;4;15;2;1;53;55;7.19;81.00
2015;C1052;3;129;1;1;4;15;1.2;1;45;45;6.26;3.00
2015;C1052;36;129;906;906;4;;;1;38;38;16.86;177.00
2015;C1052;38;129;906;906;4;;;1;31;31;17.67;164.00
2015;C1052;59;129;906;906;4;;;1;28;28;15.25;142.00
2015;C2055;32;129;1;1;4;15;2;1;42;42;13.27;213.00
2015;C2055;15;129;1;1;4;20;1.2;1;41;40;16.08;59.00
2015;C2055;3;129;1;1;4;20;1.2;1;42;42;8.29;59.00
2015;C2055;12;129;1;1;4;20;1.1;1;34;34;10.48;54.00
2015;C2055;13;129;1;1;4;20;1.2;1;36;36;12.97;51.00
2015;C2055;2;129;1;1;4;20;1.2;1;43;43;2.29;51.00
2015;C2055;1;129;1;1;4;20;1.2;1;55;52;1.79;26.00
2015;C2055;11;129;1;1;4;20;1.1;1;46;46;8.51;22.00
2015;C2055;34;129;1;1;4;10;2;1;46;45;15.34;18.00
2015;C2055;33;129;1;1;4;25;2;1;36;34;11.37;0.00
2015;C2055;8;129;906;906;4;;;1;30;30;14.26;188.00
2015;C2055;10;129;906;906;4;;;1;37;35;16.39;148.00
2015;C2055;9;129;906;906;4;;;1;23;22;17.72;145.00
2015;C2055;6;129;906;906;4;;;1;32;32;15.52;78.00
2015;C2055;14;129;906;906;4;;;1;34;32;15.23;14.00
2015;C2056;40;17;1;1;4;25;1.1;2;11;13;7.46;350.00
2015;C2056;41;17;1;1;4;20;1.1;2;16;16;12.22;310.00
2015;C2056;25;17;1;1;4;15;1.1;1;24;22;7.07;223.00
2015;C2056;6;17;1;1;4;15;2;1;29;29;12.79;211.00
2015;C2056;24;17;1;1;4;15;1.1;1;19;18;7.89;201.00
2015;C2056;2;17;1;1;4;30;1.1;1;23;23;9.61;184.00
2015;C2056;4;17;1;1;4;10;1.1;1;45;44;14.47;179.00
2015;C2056;1;17;1;1;4;15;3;1;25;25;6.36;178.00
2015;C2056;36;17;1;1;4;20;1.1;1;12;12;11.93;172.00
2015;C2056;37;17;1;1;4;20;1.1;1;13;14;8.66;163.00
2015;C2056;22;17;1;1;4;15;1.1;1;22;21;9.61;148.00
2015;C2056;38;17;1;1;4;25;1.1;1;18;17;5.27;121.00
2015;C2056;27;17;1;1;4;15;1.1;1;20;20;10.75;115.00
2015;C2056;23;17;1;1;4;15;1.1;1;31;32;2.09;113.00
2015;C2056;20;17;1;1;4;15;2;1;26;26;10.56;97.00
2015;C2056;17;17;1;1;4;15;2;1;23;23;4.96;90.00
2015;C2056;26;17;1;1;4;15;1.1;1;25;25;8.36;85.00
2015;C2056;11;17;1;1;4;5;1.1;1;42;41;12.78;70.00
2015;C2056;16;17;1;1;4;15;1.1;1;28;28;9.59;65.00
2015;C2056;39;17;1;1;4;20;1.1;1;14;16;12.00;40.00
2015;C2056;5;17;906;906;4;;;1;26;23;14.16;199.00
2015;C2056;3;17;906;906;4;;;1;35;36;14.21;164.00
2015;C2056;21;17;906;906;4;;;1;28;30;13.29;120.00
2015;C2056;19;17;906;906;4;;;1;30;29;16.43;90.00
2015;C2056;34;17;906;906;4;;;1;16;15;15.88;71.00
2015;C2056;35;17;906;906;4;;;1;19;20;14.68;60.00
2015;C2056;33;17;906;906;4;;;1;16;16;14.40;49.00
2015;C2056;10;17;906;906;4;;;1;34;35;14.42;37.00
2015;C2056;9;17;906;906;4;;;1;25;24;15.35;27.00
2015;C2056;8;17;906;906;4;;;1;15;16;16.86;15.00
2015;C2056;7;17;906;906;4;;;1;33;24;13.54;15.00
2015;C0927;12;20;1;1;4;15;3;1;33;31;8.77;335.00
2015;C0927;11;20;1;1;4;25;3;1;27;28;4.71;316.00
2015;C0927;9;20;1;1;4;15;3;1;27;26;11.51;311.00
2015;C0927;8;20;1;1;4;20;3;1;25;25;11.35;311.00
2015;C0927;5;20;1;1;4;20;3;1;37;39;8.54;283.00
2015;C0927;32;20;1;1;4;15;3;1;33;32;9.06;280.00
2015;C0927;33;3;1;1;4;0;1.1;1;12;14;11.42;268.00
2015;C0927;2;20;1;1;4;20;3;1;43;43;4.27;257.00
2015;C0927;1;20;1;1;4;20;3;1;35;32;3.48;229.00
2015;C0927;29;20;1;1;4;25;3;1;16;17;11.24;190.00
2015;C0927;31;20;1;1;4;15;3;1;19;17;11.80;184.00
2015;C0927;28;20;1;1;4;20;3;1;23;22;5.82;173.00
2015;C0927;27;20;1;1;4;10;3;1;39;44;9.00;162.00
2015;C0927;22;20;1;1;4;10;3;1;25;24;10.39;149.00
2015;C0927;21;20;1;1;4;15;3;1;28;27;9.20;146.00
2015;C0927;15;20;1;1;4;15;3;1;27;30;6.12;108.00
2015;C0927;18;20;1;1;4;15;3;1;35;32;10.43;95.00
2015;C0927;16;20;1;1;4;15;3;1;30;28;8.73;87.00
2015;C0927;36;20;1;1;4;20;3;1;23;26;11.90;84.00
2015;C0927;17;20;1;1;4;20;2;1;18;17;8.20;70.00
2015;C0927;35;20;1;1;4;15;3;1;42;42;11.63;44.00
2015;C0927;13;20;1;1;4;25;3;1;32;33;4.11;17.00
2015;C0927;34;20;1;1;4;25;3;1;31;31;10.58;12.00
2015;C0927;14;20;1;1;4;20;3;1;15;14;7.47;5.00
2015;C0927;7;20;29;29;4;;;1;20;19;10.85;306.00
2015;C0927;23;20;906;906;4;;;1;17;18;16.17;142.00
2015;C0927;19;20;906;906;4;;;1;36;33;13.13;117.00
