ANNO_RIL;IDAREA;IDPIANTA;IDSINTOMO;PARTE;TIPOSINT;ETADANNO;AGENTE;AG_NOME;AG_DIFF;CHIOMA_V;NOTE
2015;C1052;1;1;11;03;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;3;1;12;03;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;6;1;31;13;2;99900;99900 - Fattori investigati ma non identificati;0;2;
2015;C1052;9;1;00;;;;;;;
2015;C1052;11;1;00;;;;;;;
2015;C1052;15;1;00;;;;;;;
2015;C1052;17;1;00;;;;;;;
2015;C1052;28;1;00;;;;;;;
2015;C1052;29;1;00;;;;;;;
2015;C1052;45;1;00;;;;;;;
2015;C1052;46;1;12;02;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;56;1;12;02;2;99900;99900 - Fattori investigati ma non identificati;0;2;
2015;C1052;58;1;12;02;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;60;1;14;08;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;61;1;12;02;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C1052;63;1;31;11;1;99900;99900 - Fattori investigati ma non identificati;;;
2015;C1052;64;1;00;;;;;;;
2015;C2055;1;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;15;2;
2015;C2055;2;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;15;2;
2015;C2055;3;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2055;11;1;11;03;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2055;12;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;15;2;
2015;C2055;13;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2055;15;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2055;32;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2055;33;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;20;2;
2015;C2055;34;1;12;03;3;99900;99900 - Fattori investigati ma non identificati;15;2;
2015;C2056;1;1;00;;;;;;;
2015;C2056;2;1;00;;;;;;;
2015;C2056;4;1;00;;;;;;;
2015;C2056;6;1;00;;;;;;;
2015;C2056;11;1;00;;;;;;;
2015;C2056;16;1;00;;;;;;;
2015;C2056;17;1;00;;;;;;;
2015;C2056;20;1;00;;;;;;;
2015;C2056;22;1;00;;;;;;;
2015;C2056;23;1;00;;;;;;;
2015;C2056;24;1;00;;;;;;;
2015;C2056;25;1;00;;;;;;;
2015;C2056;26;1;00;;;;;;;
2015;C2056;27;1;00;;;;;;;
2015;C2056;36;1;00;;;;;;;
2015;C2056;37;1;00;;;;;;;
2015;C2056;38;1;00;;;;;;;
2015;C2056;39;1;00;;;;;;;
2015;C2056;40;1;00;;;;;;;
2015;C2056;41;1;00;;;;;;;
2015;C0927;1;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0927;2;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;5;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0927;8;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0927;9;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;11;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0927;12;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;13;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;13;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0927;14;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0927;15;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;15;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0927;16;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;17;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;17;2;21;14;1;21000;- Non identificato -;5;2;
2015;C0927;18;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;21;1;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0927;22;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;27;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;28;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;28;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0927;29;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;29;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0927;31;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;32;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;33;1;00;;;;;;;
2015;C0927;34;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;34;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0927;35;1;14;01;1;21000;- Non identificato -;5;2;
2015;C0927;36;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;1;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;1;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;2;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;3;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;3;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;4;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;4;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0947;4;3;23;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;6;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;6;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;7;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;7;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0947;7;3;23;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;8;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;8;2;22;14;1;21000;- Non identificato -;10;2;
2015;C0947;22;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;22;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0947;22;3;23;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C0947;26;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;26;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0947;27;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;27;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C0947;37;1;14;01;1;21000;- Non identificato -;10;2;
2015;C0947;37;2;22;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2047;1;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;2;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;3;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;4;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;5;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;6;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;7;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;8;1;00;;;;;;;
2015;C2047;9;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;10;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;11;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;12;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;13;1;00;;;;;;;
2015;C2047;15;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;16;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;18;1;00;;;;;;;
2015;C2047;19;1;00;;;;;;;
2015;C2047;20;1;00;;;;;;;
2015;C2047;21;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;22;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;23;1;00;;;;;;;
2015;C2047;24;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;25;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;26;1;21;14;1;21000;- Non identificato -;5;2;
2015;C2047;27;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;28;1;21;14;1;21000;- Non identificato -;5;2;
2015;C2047;29;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;30;1;00;;;;;;;
2015;C2047;31;1;00;;;;;;;
2015;C2047;32;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;33;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;34;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;35;1;00;;;;;;;
2015;C2047;36;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;37;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;38;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;39;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;40;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2047;41;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2048;1;1;32;12;3;14300;14300 - Picidae;;;
2015;C2048;2;1;32;12;3;14300;14300 - Picidae;;;
2015;C2048;3;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;4;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;4;2;32;12;3;14300;14300 - Picidae;;;
2015;C2048;5;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;5;2;32;12;3;14300;14300 - Picidae;;;
2015;C2048;6;1;32;12;3;14300;14300 - Picidae;;;
2015;C2048;7;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;7;2;32;12;3;14300;14300 - Picidae;;;
2015;C2048;8;1;32;12;3;14300;14300 - Picidae;;;
2015;C2048;9;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;9;2;32;12;3;14300;14300 - Picidae;;;
2015;C2048;10;1;00;;;;;;;
2015;C2048;11;1;22;14;2;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;12;1;00;;;;;;;
2015;C2048;13;1;00;;;;;;;
2015;C2048;14;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;14;2;32;12;3;14300;14300 - Picidae;;;
2015;C2048;15;1;32;12;3;14300;14300 - Picidae;;;
2015;C2048;32;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;33;1;00;;;;;;;
2015;C2048;34;1;00;;;;;;;
2015;C2048;35;1;00;;;;;;;
2015;C2048;36;1;00;;;;;;;
2015;C2048;37;1;00;;;;;;;
2015;C2048;38;1;11;01;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;39;1;00;;;;;;;
2015;C2048;40;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;41;1;11;01;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2048;42;1;00;;;;;;;
2015;C2048;43;1;11;03;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2049;1;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;2;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;4;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;5;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;8;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;10;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;23;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;31;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;32;1;14;01;1;21000;- Non identificato -;15;2;
2015;C2049;33;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;34;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;35;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;36;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;37;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;38;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;39;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;40;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;41;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;42;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;43;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2049;44;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2050;13;1;00;;;;;;;
2015;C2050;14;1;00;;;;;;;
2015;C2050;15;1;00;;;;;;;
2015;C2050;16;1;00;;;;;;;
2015;C2050;17;1;00;;;;;;;
2015;C2050;30;1;00;;;;;;;
2015;C2050;31;1;00;;;;;;;
2015;C2050;32;1;00;;;;;;;
2015;C2050;33;1;00;;;;;;;
2015;C2050;34;1;00;;;;;;;
2015;C2050;35;1;00;;;;;;;
2015;C2050;36;1;00;;;;;;;
2015;C2050;37;1;00;;;;;;;
2015;C2050;38;1;00;;;;;;;
2015;C2051;3;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2051;4;1;14;01;1;21000;- Non identificato -;10;2;
2015;C2051;4;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2051;5;1;14;01;1;21000;- Non identificato -;5;2;
2015;C2051;5;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;5;2;
2015;C2051;7;1;14;01;1;21000;- Non identificato -;15;2;
2015;C2051;7;2;21;14;1;99900;99900 - Fattori investigati ma non identificati;10;2;
2015;C2051;8;1;14;01;1;21000;- Non identificato -;10;2;
